RecordID,Department,Country,RiskCategory,ControlID,ControlName,ControlOwner,TestDate,TestResult,Severity,IssueLogged,IssueStatus,DaysOpen,AuditCycle,RiskScore,RemediationDueDate,ActionOwner,ActionProgress,Comments
RC001,HR,Canada,Compliance,CTRL-093,Expense Authorization,Lucy Wanjiku,2014-07-06,Fail,Low,Yes,Closed,87,Q3 2014,83,2014-09-23,David Njoroge,78,No issues found
RC002,IT,Germany,IT Security,CTRL-083,Payroll Validation,John Doe,2013-04-09,Pass,,No,,0,Q2 2013,25,,,,Follow-up scheduled
RC003,HR,France,Operational,CTRL-026,Expense Authorization,Grace Mwangi,2013-07-16,Pass,,No,,0,Q3 2013,24,,,,Control design effective
RC004,Legal,Germany,IT Security,CTRL-085,AML Monitoring,Peter Otieno,2014-10-01,Fail,Low,Yes,In Progress,28,Q4 2014,29,2014-10-31,David Njoroge,83,Pending management approval
RC005,Compliance,Mexico,Operational,CTRL-060,Vendor Approval Process,Ali Hassan,2014-07-26,Fail,Medium,Yes,Closed,7,Q3 2014,54,2014-09-27,Mary Achieng,93,Awaiting vendor response
RC006,Compliance,Germany,Compliance,CTRL-010,Data Backup Verification,Peter Otieno,2013-04-10,Pass,,No,,0,Q2 2013,49,,,,Control design effective
RC007,Procurement,Germany,Financial,CTRL-025,Fraud Risk Assessment,Lucy Wanjiku,2013-09-12,Pass,,No,,0,Q3 2013,91,,,,Need system update
RC008,Operations,Canada,IT Security,CTRL-096,Expense Authorization,Lucy Wanjiku,2014-08-14,Fail,High,Yes,In Progress,89,Q3 2014,74,2014-11-08,Mary Achieng,21,Follow-up scheduled
RC009,Operations,France,IT Security,CTRL-065,Payroll Validation,Lucy Wanjiku,2013-06-11,Fail,Medium,Yes,In Progress,70,Q2 2013,61,2013-09-03,Ali Hassan,52,Need system update
RC010,Procurement,Germany,Compliance,CTRL-078,Data Backup Verification,Peter Otieno,2014-07-13,Pass,,No,,0,Q3 2014,68,,,,Control design effective
RC011,Legal,Mexico,Compliance,CTRL-047,AML Monitoring,Grace Mwangi,2014-02-11,Pass,,No,,0,Q1 2014,24,,,,No issues found
RC012,Operations,Canada,Operational,CTRL-067,Access Review,Ali Hassan,2013-01-07,Fail,Low,Yes,Open,109,Q1 2013,60,2013-02-07,Ali Hassan,70,Control design effective
RC013,Operations,Mexico,Strategic,CTRL-119,Physical Asset Protection,Jane Smith,2013-04-07,Pass,,No,,0,Q2 2013,78,,,,No issues found
RC014,HR,Germany,Financial,CTRL-034,Payroll Validation,Peter Otieno,2013-09-13,Pass,,No,,0,Q3 2013,52,,,,No issues found
RC015,Finance,Canada,Strategic,CTRL-052,Physical Asset Protection,Jane Smith,2013-03-21,Fail,Medium,Yes,Open,62,Q1 2013,93,2013-06-11,Mary Achieng,76,Need system update
RC016,IT,United,Operational,CTRL-094,Physical Asset Protection,Grace Mwangi,2013-03-22,Pass,,No,,0,Q1 2013,62,,,,No issues found
RC017,Compliance,States,IT Security,CTRL-054,Expense Authorization,Jane Smith,2014-10-31,Pass,,No,,0,Q4 2014,68,,,,Awaiting vendor response
RC018,IT,of,Strategic,CTRL-006,Payroll Validation,Peter Otieno,2014-08-02,Pass,,No,,0,Q3 2014,61,,,,Control design effective
RC019,Legal,America,Financial,CTRL-020,Vendor Approval Process,Lucy Wanjiku,2014-02-07,Fail,High,Yes,Closed,64,Q1 2014,31,2014-03-23,Grace Mwangi,37,Pending management approval
RC020,HR,Canada,Financial,CTRL-044,Expense Authorization,Grace Mwangi,2014-08-09,Pass,,No,,0,Q3 2014,90,,,,Pending management approval
RC021,IT,Mexico,Operational,CTRL-052,Fraud Risk Assessment,Grace Mwangi,2014-12-16,Pass,,No,,0,Q4 2014,37,,,,Pending management approval
RC022,Operations,Canada,Financial,CTRL-063,Procurement Policy Adherence,Lucy Wanjiku,2014-08-09,Pass,,No,,0,Q3 2014,91,,,,Control design effective
RC023,Legal,Germany,Strategic,CTRL-032,Data Backup Verification,John Doe,2013-09-30,Fail,Medium,Yes,Closed,118,Q3 2013,93,2013-11-04,Mary Achieng,85,Pending management approval
RC024,Procurement,Germany,Compliance,CTRL-045,Data Backup Verification,Ali Hassan,2013-12-19,Pass,,No,,0,Q4 2013,59,,,,Follow-up scheduled
RC025,IT,Mexico,Strategic,CTRL-106,AML Monitoring,Peter Otieno,2013-05-30,Fail,Low,Yes,Open,25,Q2 2013,67,2013-07-08,Mary Achieng,14,Need system update
RC026,Finance,France,Financial,CTRL-080,Access Review,Ali Hassan,2013-01-15,Fail,High,Yes,Open,39,Q1 2013,77,2013-03-16,Mary Achieng,42,Follow-up scheduled
RC027,Legal,Mexico,Strategic,CTRL-028,Data Backup Verification,Peter Otieno,2014-06-20,Fail,High,Yes,In Progress,79,Q2 2014,38,2014-09-02,Mary Achieng,48,Control design effective
RC028,Legal,Mexico,Strategic,CTRL-006,Incident Response,Jane Smith,2013-03-03,Fail,Low,Yes,Closed,79,Q1 2013,54,2013-04-05,Grace Mwangi,83,Awaiting vendor response
RC029,Finance,United,IT Security,CTRL-085,Incident Response,Lucy Wanjiku,2014-11-07,Fail,Low,Yes,Open,37,Q4 2014,69,2014-12-21,Grace Mwangi,65,Need system update
RC030,Finance,States,Compliance,CTRL-063,Physical Asset Protection,Peter Otieno,2013-04-01,Pass,,No,,0,Q2 2013,45,,,,Control design effective
RC031,Procurement,of,Strategic,CTRL-119,Vendor Approval Process,John Doe,2013-09-11,Fail,Medium,Yes,In Progress,50,Q3 2013,40,2013-10-12,Ali Hassan,87,No issues found
RC032,IT,America,Compliance,CTRL-031,Fraud Risk Assessment,Ali Hassan,2013-03-05,Fail,Medium,Yes,Open,120,Q1 2013,91,2013-06-03,Ali Hassan,28,Follow-up scheduled
RC033,IT,Canada,IT Security,CTRL-085,Access Review,John Doe,2014-01-27,Pass,,No,,0,Q1 2014,73,,,,Follow-up scheduled
RC034,Operations,United,Financial,CTRL-055,Incident Response,Peter Otieno,2013-12-04,Fail,High,Yes,Open,26,Q4 2013,37,2014-02-09,David Njoroge,17,No issues found
RC035,Legal,States,Strategic,CTRL-117,Access Review,Grace Mwangi,2013-05-29,Pass,,No,,0,Q2 2013,60,,,,Awaiting vendor response
RC036,Operations,of,Strategic,CTRL-093,Expense Authorization,Jane Smith,2013-11-22,Pass,,No,,0,Q4 2013,23,,,,No issues found
RC037,Procurement,America,IT Security,CTRL-039,AML Monitoring,Lucy Wanjiku,2014-10-15,Fail,Low,Yes,Open,13,Q4 2014,36,2014-11-25,Mary Achieng,97,Control design effective
RC038,Operations,Canada,Compliance,CTRL-078,Physical Asset Protection,Peter Otieno,2013-08-25,Pass,,No,,0,Q3 2013,49,,,,Need system update
RC039,Finance,Canada,Compliance,CTRL-011,AML Monitoring,Jane Smith,2014-05-30,Fail,High,Yes,Closed,47,Q2 2014,43,2014-08-22,Grace Mwangi,62,Pending management approval
RC040,HR,Germany,Financial,CTRL-025,Data Backup Verification,John Doe,2014-02-23,Pass,,No,,0,Q1 2014,54,,,,Pending management approval
RC041,HR,Mexico,Financial,CTRL-097,Data Backup Verification,John Doe,2013-07-01,Fail,High,Yes,In Progress,88,Q3 2013,61,2013-09-24,Grace Mwangi,31,Pending management approval
RC042,Procurement,France,Operational,CTRL-078,Procurement Policy Adherence,Lucy Wanjiku,2013-11-17,Fail,High,Yes,Closed,73,Q4 2013,88,2014-01-19,Mary Achieng,66,Awaiting vendor response
RC043,Procurement,Germany,IT Security,CTRL-106,Vendor Approval Process,Jane Smith,2014-06-16,Fail,High,Yes,Open,71,Q2 2014,69,2014-08-18,Mary Achieng,24,No issues found
RC044,Procurement,Germany,IT Security,CTRL-114,Incident Response,Ali Hassan,2014-04-18,Pass,,No,,0,Q2 2014,74,,,,No issues found
RC045,Operations,Germany,Operational,CTRL-089,Fraud Risk Assessment,Jane Smith,2014-04-20,Fail,Low,Yes,Closed,64,Q2 2014,34,2014-05-31,David Njoroge,50,Pending management approval
RC046,IT,United,IT Security,CTRL-004,Access Review,Grace Mwangi,2014-08-28,Pass,,No,,0,Q3 2014,78,,,,Awaiting vendor response
RC047,IT,States,Compliance,CTRL-089,Access Review,Lucy Wanjiku,2013-05-07,Pass,,No,,0,Q2 2013,34,,,,Need system update
RC048,Procurement,of,Compliance,CTRL-011,Fraud Risk Assessment,Lucy Wanjiku,2014-01-29,Pass,,No,,0,Q1 2014,68,,,,Control design effective
RC049,Procurement,America,Operational,CTRL-099,Access Review,Ali Hassan,2014-08-03,Pass,,No,,0,Q3 2014,40,,,,Follow-up scheduled
RC050,HR,Canada,Operational,CTRL-054,Incident Response,Ali Hassan,2014-04-02,Fail,High,Yes,Open,15,Q2 2014,36,2014-05-14,Mary Achieng,79,No issues found
RC051,Finance,Canada,IT Security,CTRL-064,AML Monitoring,Peter Otieno,2013-01-06,Fail,Low,Yes,Open,75,Q1 2013,80,2013-03-06,Grace Mwangi,56,Awaiting vendor response
RC052,Operations,Germany,Strategic,CTRL-001,Data Backup Verification,Peter Otieno,2013-10-12,Pass,,No,,0,Q4 2013,26,,,,Follow-up scheduled
RC053,HR,France,Operational,CTRL-084,Payroll Validation,John Doe,2013-05-29,Pass,,No,,0,Q2 2013,93,,,,Control design effective
RC054,IT,Germany,Compliance,CTRL-118,Expense Authorization,John Doe,2013-04-22,Fail,Low,Yes,Open,86,Q2 2013,56,2013-06-30,David Njoroge,58,Need system update
RC055,Operations,France,Compliance,CTRL-120,Vendor Approval Process,John Doe,2013-11-03,Fail,Medium,Yes,In Progress,104,Q4 2013,28,2014-01-20,Grace Mwangi,70,Awaiting vendor response
RC056,IT,France,IT Security,CTRL-018,Expense Authorization,Lucy Wanjiku,2013-10-09,Fail,High,Yes,In Progress,67,Q4 2013,46,2013-12-22,David Njoroge,78,Awaiting vendor response
RC057,Finance,Canada,Strategic,CTRL-094,Fraud Risk Assessment,John Doe,2014-05-11,Fail,Medium,Yes,Closed,108,Q2 2014,60,2014-06-26,Ali Hassan,16,Control design effective
RC058,Operations,France,IT Security,CTRL-067,AML Monitoring,Grace Mwangi,2013-07-04,Pass,,No,,0,Q3 2013,57,,,,Follow-up scheduled
RC059,Finance,United,Operational,CTRL-004,AML Monitoring,Lucy Wanjiku,2013-05-01,Pass,,No,,0,Q2 2013,73,,,,Pending management approval
RC060,Finance,States,Compliance,CTRL-045,Fraud Risk Assessment,Lucy Wanjiku,2013-08-06,Pass,,No,,0,Q3 2013,45,,,,Need system update
RC061,IT,of,Compliance,CTRL-102,Expense Authorization,Ali Hassan,2013-11-04,Fail,Low,Yes,Open,87,Q4 2013,62,2013-12-25,Grace Mwangi,92,Control design effective
RC062,Operations,America,Operational,CTRL-107,Access Review,Jane Smith,2013-12-05,Fail,High,Yes,In Progress,117,Q4 2013,80,2014-02-24,Mary Achieng,82,Follow-up scheduled
RC063,Procurement,Germany,Financial,CTRL-081,AML Monitoring,Peter Otieno,2013-12-10,Fail,Medium,Yes,Closed,7,Q4 2013,86,2014-01-28,Ali Hassan,71,Control design effective
RC064,Finance,France,Financial,CTRL-074,Payroll Validation,Ali Hassan,2013-03-09,Pass,,No,,0,Q1 2013,55,,,,Awaiting vendor response
RC065,IT,Germany,IT Security,CTRL-081,Fraud Risk Assessment,Jane Smith,2014-08-08,Fail,Low,Yes,Closed,14,Q3 2014,59,2014-10-22,Ali Hassan,90,Awaiting vendor response
RC066,IT,United,IT Security,CTRL-012,AML Monitoring,Jane Smith,2014-01-16,Fail,Medium,Yes,Open,67,Q1 2014,58,2014-02-26,Mary Achieng,47,Awaiting vendor response
RC067,Compliance,States,Financial,CTRL-117,Expense Authorization,Grace Mwangi,2014-06-03,Pass,,No,,0,Q2 2014,81,,,,Control design effective
RC068,HR,of,Financial,CTRL-044,AML Monitoring,Lucy Wanjiku,2014-06-21,Fail,Medium,Yes,Open,98,Q2 2014,32,2014-09-11,David Njoroge,26,Need system update
RC069,Finance,America,IT Security,CTRL-050,Fraud Risk Assessment,John Doe,2013-01-05,Fail,Low,Yes,Closed,108,Q1 2013,31,2013-02-25,Grace Mwangi,5,Awaiting vendor response
RC070,Operations,United,Compliance,CTRL-003,Physical Asset Protection,Ali Hassan,2014-10-17,Pass,,No,,0,Q4 2014,61,,,,Follow-up scheduled
RC071,HR,States,Compliance,CTRL-036,Fraud Risk Assessment,Ali Hassan,2014-03-28,Pass,,No,,0,Q1 2014,54,,,,Follow-up scheduled
RC072,HR,of,Compliance,CTRL-015,Vendor Approval Process,Peter Otieno,2014-07-28,Pass,,No,,0,Q3 2014,46,,,,Control design effective
RC073,IT,America,Strategic,CTRL-041,Incident Response,Jane Smith,2014-12-23,Fail,High,Yes,Open,21,Q4 2014,29,2015-02-10,Ali Hassan,69,Pending management approval
RC074,Finance,United,Financial,CTRL-004,AML Monitoring,Lucy Wanjiku,2013-02-21,Pass,,No,,0,Q1 2013,69,,,,Awaiting vendor response
RC075,Finance,States,IT Security,CTRL-051,Access Review,Lucy Wanjiku,2014-09-03,Fail,High,Yes,In Progress,39,Q3 2014,62,2014-11-24,David Njoroge,91,Need system update
RC076,Compliance,of,Strategic,CTRL-011,AML Monitoring,Peter Otieno,2013-05-15,Pass,,No,,0,Q2 2013,79,,,,Awaiting vendor response
RC077,Procurement,America,Compliance,CTRL-088,AML Monitoring,Grace Mwangi,2013-08-26,Pass,,No,,0,Q3 2013,38,,,,Control design effective
RC078,IT,France,Compliance,CTRL-051,Access Review,Lucy Wanjiku,2014-11-13,Fail,Medium,Yes,In Progress,62,Q4 2014,23,2014-12-17,Grace Mwangi,14,No issues found
RC079,Procurement,France,IT Security,CTRL-109,Access Review,Ali Hassan,2013-12-23,Pass,,No,,0,Q4 2013,85,,,,Awaiting vendor response
RC080,Procurement,France,Operational,CTRL-042,Fraud Risk Assessment,Lucy Wanjiku,2013-03-14,Fail,High,Yes,In Progress,51,Q1 2013,95,2013-05-09,David Njoroge,79,Follow-up scheduled
RC081,Operations,France,Financial,CTRL-062,Procurement Policy Adherence,John Doe,2013-12-15,Pass,,No,,0,Q4 2013,95,,,,Pending management approval
RC082,Compliance,Canada,IT Security,CTRL-073,Payroll Validation,Peter Otieno,2014-12-12,Pass,,No,,0,Q4 2014,42,,,,Need system update
RC083,Legal,United,Operational,CTRL-095,Physical Asset Protection,Grace Mwangi,2013-04-28,Fail,Medium,Yes,Closed,12,Q2 2013,76,2013-06-08,Ali Hassan,51,Awaiting vendor response
RC084,Operations,States,Operational,CTRL-088,Physical Asset Protection,Grace Mwangi,2013-12-02,Fail,High,Yes,Closed,7,Q4 2013,31,2014-01-14,David Njoroge,74,Need system update
RC085,Compliance,of,Operational,CTRL-097,Access Review,Lucy Wanjiku,2013-06-02,Fail,High,Yes,In Progress,49,Q2 2013,93,2013-07-30,David Njoroge,26,Need system update
RC086,IT,America,Compliance,CTRL-073,Incident Response,Grace Mwangi,2013-12-19,Pass,,No,,0,Q4 2013,94,,,,Awaiting vendor response
RC087,Operations,Mexico,Strategic,CTRL-052,Access Review,Ali Hassan,2013-03-05,Fail,High,Yes,Open,0,Q1 2013,91,2013-05-26,Ali Hassan,14,No issues found
RC088,Compliance,United,Operational,CTRL-031,Procurement Policy Adherence,Lucy Wanjiku,2014-08-28,Fail,High,Yes,In Progress,91,Q3 2014,68,2014-10-22,Grace Mwangi,55,Control design effective
RC089,HR,States,Financial,CTRL-061,Access Review,Jane Smith,2014-07-23,Fail,Medium,Yes,In Progress,19,Q3 2014,56,2014-10-16,David Njoroge,17,Awaiting vendor response
RC090,Finance,of,Operational,CTRL-019,AML Monitoring,Lucy Wanjiku,2014-03-24,Pass,,No,,0,Q1 2014,30,,,,Follow-up scheduled
RC091,Legal,America,IT Security,CTRL-111,AML Monitoring,Lucy Wanjiku,2014-09-11,Fail,High,Yes,Open,58,Q3 2014,85,2014-11-07,Grace Mwangi,49,No issues found
RC092,HR,Canada,Financial,CTRL-055,Physical Asset Protection,John Doe,2014-08-15,Fail,High,Yes,Open,91,Q3 2014,84,2014-10-01,Grace Mwangi,69,Control design effective
RC093,IT,United,Operational,CTRL-005,Physical Asset Protection,Grace Mwangi,2014-12-23,Fail,Low,Yes,Closed,61,Q4 2014,30,2015-01-31,Ali Hassan,59,Control design effective
RC094,Finance,States,Strategic,CTRL-114,Physical Asset Protection,John Doe,2013-09-09,Fail,High,Yes,Closed,84,Q3 2013,29,2013-11-21,Ali Hassan,78,Awaiting vendor response
RC095,IT,of,Strategic,CTRL-100,Vendor Approval Process,Grace Mwangi,2014-04-10,Fail,High,Yes,Closed,42,Q2 2014,73,2014-06-01,Ali Hassan,37,Follow-up scheduled
RC096,Finance,America,Strategic,CTRL-096,Incident Response,Lucy Wanjiku,2014-08-01,Fail,Low,Yes,Closed,60,Q3 2014,94,2014-09-10,Mary Achieng,84,No issues found
RC097,Compliance,France,Strategic,CTRL-004,Incident Response,Grace Mwangi,2013-03-26,Pass,,No,,0,Q1 2013,84,,,,Awaiting vendor response
RC098,Compliance,Germany,Compliance,CTRL-033,Access Review,Peter Otieno,2013-10-15,Fail,Medium,Yes,Open,94,Q4 2013,34,2013-12-22,David Njoroge,75,Need system update
RC099,HR,Mexico,IT Security,CTRL-048,Access Review,Ali Hassan,2014-12-19,Pass,,No,,0,Q4 2014,82,,,,Follow-up scheduled
RC100,Compliance,Mexico,Strategic,CTRL-111,Vendor Approval Process,Ali Hassan,2013-03-28,Pass,,No,,0,Q1 2013,39,,,,Pending management approval
RC101,Compliance,France,IT Security,CTRL-099,Procurement Policy Adherence,Jane Smith,2014-11-08,Fail,High,Yes,Closed,21,Q4 2014,46,2015-01-13,Ali Hassan,6,Need system update
RC102,IT,Mexico,Operational,CTRL-007,Access Review,Grace Mwangi,2014-02-13,Fail,Medium,Yes,In Progress,95,Q1 2014,88,2014-03-29,Grace Mwangi,87,Need system update
RC103,Procurement,United,IT Security,CTRL-034,Access Review,Peter Otieno,2014-03-22,Pass,,No,,0,Q1 2014,56,,,,Pending management approval
RC104,Procurement,States,Compliance,CTRL-068,Vendor Approval Process,John Doe,2014-06-29,Fail,Medium,Yes,Closed,117,Q2 2014,54,2014-08-19,Ali Hassan,34,Awaiting vendor response
RC105,IT,of,Strategic,CTRL-051,AML Monitoring,Lucy Wanjiku,2013-09-05,Pass,,No,,0,Q3 2013,86,,,,No issues found
RC106,Legal,America,Financial,CTRL-041,Fraud Risk Assessment,John Doe,2014-11-20,Pass,,No,,0,Q4 2014,28,,,,Awaiting vendor response
RC107,Procurement,France,Operational,CTRL-068,Expense Authorization,Lucy Wanjiku,2014-04-02,Fail,Low,Yes,Closed,36,Q2 2014,52,2014-05-14,Mary Achieng,3,Control design effective
RC108,Finance,Canada,Operational,CTRL-077,Data Backup Verification,Peter Otieno,2014-10-16,Pass,,No,,0,Q4 2014,35,,,,Awaiting vendor response
RC109,Compliance,United,Strategic,CTRL-017,Procurement Policy Adherence,Lucy Wanjiku,2014-10-26,Pass,,No,,0,Q4 2014,34,,,,Need system update
RC110,HR,States,Compliance,CTRL-038,AML Monitoring,Lucy Wanjiku,2013-03-19,Fail,Medium,Yes,In Progress,88,Q1 2013,61,2013-05-04,David Njoroge,99,Awaiting vendor response
RC111,IT,of,Operational,CTRL-049,Procurement Policy Adherence,Ali Hassan,2013-03-03,Fail,Medium,Yes,Open,56,Q1 2013,28,2013-05-03,David Njoroge,78,Pending management approval
RC112,HR,America,IT Security,CTRL-014,Access Review,Peter Otieno,2014-03-18,Pass,,No,,0,Q1 2014,33,,,,Pending management approval
RC113,Legal,United,Compliance,CTRL-014,Vendor Approval Process,John Doe,2013-03-14,Fail,Medium,Yes,Open,114,Q1 2013,83,2013-04-22,Mary Achieng,4,Need system update
RC114,Procurement,States,Compliance,CTRL-020,Payroll Validation,Grace Mwangi,2014-08-12,Pass,,No,,0,Q3 2014,85,,,,Need system update
RC115,Compliance,of,IT Security,CTRL-062,Procurement Policy Adherence,Grace Mwangi,2013-03-13,Pass,,No,,0,Q1 2013,20,,,,Pending management approval
RC116,Legal,America,IT Security,CTRL-016,Physical Asset Protection,Peter Otieno,2014-01-03,Fail,High,Yes,In Progress,51,Q1 2014,27,2014-03-14,Mary Achieng,46,Control design effective
RC117,Compliance,United,Compliance,CTRL-011,AML Monitoring,Ali Hassan,2014-10-26,Pass,,No,,0,Q4 2014,42,,,,Control design effective
RC118,Finance,States,IT Security,CTRL-085,Data Backup Verification,Ali Hassan,2014-12-14,Fail,Low,Yes,Closed,88,Q4 2014,65,2015-02-13,Mary Achieng,80,Pending management approval
RC119,Legal,of,Financial,CTRL-018,Vendor Approval Process,Jane Smith,2013-01-26,Pass,,No,,0,Q1 2013,82,,,,Pending management approval
RC120,Finance,America,Strategic,CTRL-083,Incident Response,Grace Mwangi,2014-07-01,Fail,Low,Yes,Open,43,Q3 2014,27,2014-08-21,Mary Achieng,51,Awaiting vendor response
RC121,HR,United,Strategic,CTRL-059,Fraud Risk Assessment,Jane Smith,2014-08-17,Pass,,No,,0,Q3 2014,29,,,,Awaiting vendor response
RC122,Legal,States,Financial,CTRL-063,Vendor Approval Process,Grace Mwangi,2014-09-26,Pass,,No,,0,Q3 2014,51,,,,Need system update
RC123,Legal,of,Financial,CTRL-002,Access Review,Lucy Wanjiku,2013-02-21,Fail,Low,Yes,In Progress,78,Q1 2013,41,2013-05-15,Mary Achieng,13,Awaiting vendor response
RC124,Procurement,America,Strategic,CTRL-103,Physical Asset Protection,Jane Smith,2013-03-06,Pass,,No,,0,Q1 2013,74,,,,No issues found
RC125,Compliance,United,IT Security,CTRL-042,Expense Authorization,Lucy Wanjiku,2014-08-13,Pass,,No,,0,Q3 2014,61,,,,Follow-up scheduled
RC126,Compliance,States,Operational,CTRL-076,Access Review,Ali Hassan,2013-03-06,Pass,,No,,0,Q1 2013,55,,,,Follow-up scheduled
RC127,Compliance,of,IT Security,CTRL-022,Payroll Validation,Peter Otieno,2013-06-18,Fail,Low,Yes,Closed,5,Q2 2013,37,2013-07-24,Grace Mwangi,99,Follow-up scheduled
RC128,Finance,America,IT Security,CTRL-011,Vendor Approval Process,John Doe,2013-07-03,Pass,,No,,0,Q3 2013,95,,,,No issues found
RC129,Procurement,France,IT Security,CTRL-089,Access Review,Jane Smith,2013-05-27,Fail,High,Yes,In Progress,52,Q2 2013,50,2013-08-25,David Njoroge,78,Need system update
RC130,Finance,Mexico,Strategic,CTRL-024,AML Monitoring,Peter Otieno,2013-04-01,Fail,Medium,Yes,In Progress,0,Q2 2013,91,2013-05-16,David Njoroge,15,Control design effective
RC131,Finance,Germany,Strategic,CTRL-047,Fraud Risk Assessment,Peter Otieno,2013-08-13,Fail,High,Yes,Closed,26,Q3 2013,55,2013-09-15,David Njoroge,14,Follow-up scheduled
RC132,Legal,Germany,IT Security,CTRL-064,Access Review,Jane Smith,2014-11-18,Pass,,No,,0,Q4 2014,26,,,,Need system update
