RecordID,Department,Country,RiskCategory,ControlID,ControlName,ControlOwner,TestDate,TestResult,Severity,IssueLogged,IssueStatus,DaysOpen,AuditCycle,RiskScore,RemediationDueDate,ActionOwner,ActionProgress,Comments
RC133,IT,United,Compliance,CTRL-027,Procurement Policy Adherence,Ali Hassan,2013-12-09,Fail,Low,Yes,Open,94,Q4 2013,26,2014-03-08,David Njoroge,20,Awaiting vendor response
RC134,Procurement,States,Strategic,CTRL-015,Expense Authorization,Jane Smith,2014-04-01,Fail,Medium,Yes,Open,95,Q2 2014,61,2014-05-15,Mary Achieng,41,Follow-up scheduled
RC135,Finance,of,Financial,CTRL-095,Procurement Policy Adherence,Jane Smith,2014-01-20,Pass,,No,,0,Q1 2014,29,,,,Pending management approval
RC136,Operations,America,IT Security,CTRL-007,Procurement Policy Adherence,Jane Smith,2013-08-10,Fail,Low,Yes,In Progress,47,Q3 2013,37,2013-10-08,David Njoroge,80,No issues found
RC137,IT,France,Financial,CTRL-043,Access Review,John Doe,2014-12-10,Pass,,No,,0,Q4 2014,55,,,,Follow-up scheduled
RC138,Finance,France,IT Security,CTRL-059,Procurement Policy Adherence,Jane Smith,2013-12-18,Pass,,No,,0,Q4 2013,57,,,,Control design effective
RC139,HR,Mexico,Strategic,CTRL-116,Access Review,Peter Otieno,2014-07-21,Pass,,No,,0,Q3 2014,31,,,,Pending management approval
RC140,Compliance,Canada,Strategic,CTRL-063,Data Backup Verification,Peter Otieno,2014-04-30,Fail,Medium,Yes,Open,93,Q2 2014,74,2014-07-16,David Njoroge,31,No issues found
RC141,Procurement,United,Strategic,CTRL-029,Physical Asset Protection,Jane Smith,2014-08-11,Pass,,No,,0,Q3 2014,73,,,,Awaiting vendor response
RC142,Finance,States,IT Security,CTRL-094,Fraud Risk Assessment,John Doe,2014-03-12,Fail,Medium,Yes,Closed,105,Q1 2014,32,2014-05-09,Grace Mwangi,30,Awaiting vendor response
RC143,Operations,of,Operational,CTRL-089,Procurement Policy Adherence,Jane Smith,2013-05-16,Fail,Medium,Yes,Open,82,Q2 2013,31,2013-06-16,Grace Mwangi,85,No issues found
RC144,HR,America,IT Security,CTRL-110,Physical Asset Protection,Lucy Wanjiku,2014-08-21,Pass,,No,,0,Q3 2014,78,,,,Pending management approval
RC145,Compliance,Canada,Financial,CTRL-112,Procurement Policy Adherence,Jane Smith,2014-01-15,Fail,High,Yes,Closed,0,Q1 2014,29,2014-03-10,Ali Hassan,67,Awaiting vendor response
RC146,IT,Germany,IT Security,CTRL-097,Incident Response,Lucy Wanjiku,2014-09-20,Pass,,No,,0,Q3 2014,30,,,,Control design effective
RC147,IT,Canada,Operational,CTRL-066,Payroll Validation,John Doe,2013-04-24,Fail,Medium,Yes,In Progress,79,Q2 2013,25,2013-06-16,Ali Hassan,22,Need system update
RC148,Operations,United,Operational,CTRL-072,Data Backup Verification,Jane Smith,2013-12-09,Pass,,No,,0,Q4 2013,89,,,,Awaiting vendor response
RC149,Legal,States,IT Security,CTRL-095,Physical Asset Protection,Lucy Wanjiku,2013-08-03,Pass,,No,,0,Q3 2013,61,,,,No issues found
RC150,IT,of,Strategic,CTRL-088,Procurement Policy Adherence,Ali Hassan,2013-02-25,Pass,,No,,0,Q1 2013,67,,,,No issues found
RC151,Procurement,America,IT Security,CTRL-065,Fraud Risk Assessment,John Doe,2014-04-27,Fail,Medium,Yes,Closed,47,Q2 2014,28,2014-06-08,Grace Mwangi,11,Awaiting vendor response
RC152,Procurement,France,Financial,CTRL-037,Expense Authorization,John Doe,2013-06-18,Fail,Low,Yes,Closed,18,Q2 2013,83,2013-07-27,David Njoroge,66,Need system update
RC153,Finance,Germany,Compliance,CTRL-054,Fraud Risk Assessment,Jane Smith,2014-05-01,Fail,Medium,Yes,In Progress,94,Q2 2014,22,2014-06-18,David Njoroge,8,Awaiting vendor response
RC154,Compliance,Mexico,Financial,CTRL-107,Fraud Risk Assessment,Lucy Wanjiku,2013-12-10,Fail,High,Yes,In Progress,83,Q4 2013,61,2014-02-09,Grace Mwangi,58,No issues found
RC155,Operations,Mexico,Financial,CTRL-115,Incident Response,Jane Smith,2013-09-24,Pass,,No,,0,Q3 2013,81,,,,No issues found
RC156,IT,France,Operational,CTRL-019,Payroll Validation,Ali Hassan,2014-04-12,Pass,,No,,0,Q2 2014,40,,,,Need system update
RC157,Operations,United,Compliance,CTRL-024,Access Review,Lucy Wanjiku,2014-12-11,Pass,,No,,0,Q4 2014,40,,,,Follow-up scheduled
RC158,Finance,States,Operational,CTRL-041,Physical Asset Protection,Jane Smith,2014-03-28,Fail,Medium,Yes,Open,26,Q1 2014,91,2014-06-11,Mary Achieng,85,No issues found
RC159,IT,of,Financial,CTRL-048,AML Monitoring,Peter Otieno,2013-06-16,Fail,Low,Yes,Open,51,Q2 2013,83,2013-09-03,David Njoroge,58,No issues found
RC160,HR,America,Operational,CTRL-095,Fraud Risk Assessment,Peter Otieno,2013-12-06,Fail,Medium,Yes,In Progress,120,Q4 2013,93,2014-02-16,David Njoroge,72,Need system update
RC161,Procurement,France,Compliance,CTRL-089,Expense Authorization,Lucy Wanjiku,2014-05-06,Pass,,No,,0,Q2 2014,37,,,,Need system update
RC162,Operations,Canada,Operational,CTRL-040,Vendor Approval Process,Grace Mwangi,2014-09-25,Pass,,No,,0,Q3 2014,77,,,,No issues found
RC163,Finance,Canada,Compliance,CTRL-008,Physical Asset Protection,Lucy Wanjiku,2013-07-19,Pass,,No,,0,Q3 2013,55,,,,Follow-up scheduled
RC164,Finance,Germany,Operational,CTRL-069,AML Monitoring,Lucy Wanjiku,2014-11-19,Pass,,No,,0,Q4 2014,85,,,,Pending management approval
RC165,HR,France,IT Security,CTRL-041,Physical Asset Protection,Peter Otieno,2014-06-08,Pass,,No,,0,Q2 2014,66,,,,Pending management approval
RC166,HR,Canada,IT Security,CTRL-048,Procurement Policy Adherence,Ali Hassan,2013-01-13,Fail,Medium,Yes,In Progress,39,Q1 2013,77,2013-04-08,Mary Achieng,27,Need system update
RC167,Procurement,United,IT Security,CTRL-103,AML Monitoring,Ali Hassan,2013-06-17,Fail,High,Yes,In Progress,17,Q2 2013,95,2013-08-24,Mary Achieng,18,Follow-up scheduled
RC168,IT,States,IT Security,CTRL-112,Fraud Risk Assessment,Ali Hassan,2013-03-09,Fail,Low,Yes,Open,52,Q1 2013,54,2013-05-04,David Njoroge,71,Pending management approval
RC169,Legal,of,Strategic,CTRL-097,Access Review,Jane Smith,2013-07-10,Fail,Medium,Yes,Closed,62,Q3 2013,25,2013-09-30,Ali Hassan,74,No issues found
RC170,Procurement,America,Strategic,CTRL-095,AML Monitoring,Jane Smith,2013-01-28,Pass,,No,,0,Q1 2013,39,,,,No issues found
RC171,IT,United,IT Security,CTRL-016,Incident Response,Grace Mwangi,2013-07-03,Fail,High,Yes,Closed,31,Q3 2013,23,2013-08-09,Ali Hassan,63,Awaiting vendor response
RC172,Operations,States,Compliance,CTRL-075,AML Monitoring,Peter Otieno,2014-03-23,Fail,High,Yes,Closed,60,Q1 2014,35,2014-05-15,Mary Achieng,33,Follow-up scheduled
RC173,Operations,of,Operational,CTRL-019,Payroll Validation,Grace Mwangi,2014-12-11,Pass,,No,,0,Q4 2014,65,,,,Follow-up scheduled
RC174,Finance,America,Compliance,CTRL-047,Procurement Policy Adherence,Lucy Wanjiku,2013-12-31,Pass,,No,,0,Q4 2013,57,,,,No issues found
RC175,Operations,Mexico,Operational,CTRL-066,Data Backup Verification,Lucy Wanjiku,2013-07-07,Pass,,No,,0,Q3 2013,41,,,,Control design effective
RC176,IT,Mexico,Compliance,CTRL-106,Incident Response,Ali Hassan,2014-12-03,Fail,Low,Yes,Closed,74,Q4 2014,65,2015-02-23,David Njoroge,1,Follow-up scheduled
RC177,Operations,Canada,Compliance,CTRL-048,AML Monitoring,Grace Mwangi,2013-12-15,Pass,,No,,0,Q4 2013,33,,,,Follow-up scheduled
RC178,HR,France,Strategic,CTRL-029,Data Backup Verification,Peter Otieno,2014-09-21,Pass,,No,,0,Q3 2014,73,,,,Pending management approval
RC179,Finance,Germany,Operational,CTRL-105,Access Review,John Doe,2014-05-07,Fail,Medium,Yes,Closed,46,Q2 2014,37,2014-07-28,Grace Mwangi,76,Control design effective
RC180,Compliance,United,Compliance,CTRL-023,Incident Response,John Doe,2013-05-02,Pass,,No,,0,Q2 2013,36,,,,Need system update
RC181,HR,States,Financial,CTRL-040,Access Review,Jane Smith,2013-05-14,Pass,,No,,0,Q2 2013,74,,,,Need system update
RC182,Compliance,of,Operational,CTRL-010,Vendor Approval Process,Grace Mwangi,2014-03-18,Pass,,No,,0,Q1 2014,45,,,,Awaiting vendor response
RC183,Finance,America,Strategic,CTRL-076,Vendor Approval Process,Grace Mwangi,2013-05-02,Fail,Low,Yes,Open,38,Q2 2013,21,2013-07-19,Mary Achieng,100,Awaiting vendor response
RC184,Operations,Mexico,Financial,CTRL-076,Data Backup Verification,Jane Smith,2014-11-18,Fail,Low,Yes,Open,18,Q4 2014,55,2015-02-16,Ali Hassan,45,Follow-up scheduled
RC185,Compliance,Canada,Strategic,CTRL-100,Physical Asset Protection,Jane Smith,2014-06-02,Pass,,No,,0,Q2 2014,32,,,,Control design effective
RC186,Compliance,Germany,Operational,CTRL-068,Data Backup Verification,Lucy Wanjiku,2013-07-16,Fail,Low,Yes,Closed,0,Q3 2013,32,2013-10-13,David Njoroge,64,Need system update
RC187,Procurement,Mexico,Compliance,CTRL-090,Physical Asset Protection,Jane Smith,2014-03-27,Pass,,No,,0,Q1 2014,43,,,,No issues found
RC188,Procurement,France,IT Security,CTRL-028,Fraud Risk Assessment,Jane Smith,2014-02-22,Pass,,No,,0,Q1 2014,60,,,,Awaiting vendor response
RC189,Procurement,Canada,Operational,CTRL-067,Access Review,Grace Mwangi,2014-01-05,Fail,High,Yes,Closed,5,Q1 2014,30,2014-02-24,Grace Mwangi,14,Pending management approval
RC190,IT,Canada,IT Security,CTRL-077,Incident Response,Lucy Wanjiku,2014-03-31,Pass,,No,,0,Q1 2014,90,,,,Pending management approval
RC191,IT,Canada,IT Security,CTRL-025,Expense Authorization,Grace Mwangi,2014-11-27,Fail,Low,Yes,Open,86,Q4 2014,82,2015-02-08,Mary Achieng,50,Pending management approval
RC192,Operations,United,Operational,CTRL-016,Access Review,Grace Mwangi,2014-02-15,Pass,,No,,0,Q1 2014,41,,,,Awaiting vendor response
RC193,IT,States,Financial,CTRL-044,Data Backup Verification,Peter Otieno,2014-02-18,Pass,,No,,0,Q1 2014,49,,,,Pending management approval
RC194,Legal,of,IT Security,CTRL-036,Physical Asset Protection,Peter Otieno,2013-10-07,Fail,Medium,Yes,In Progress,85,Q4 2013,71,2013-12-07,Ali Hassan,18,Pending management approval
RC195,Finance,America,Operational,CTRL-033,AML Monitoring,Grace Mwangi,2013-08-25,Pass,,No,,0,Q3 2013,23,,,,Awaiting vendor response
RC196,Legal,United,Operational,CTRL-107,Expense Authorization,Grace Mwangi,2014-11-26,Pass,,No,,0,Q4 2014,42,,,,Pending management approval
RC197,Operations,States,Compliance,CTRL-020,Incident Response,Peter Otieno,2014-10-01,Pass,,No,,0,Q4 2014,29,,,,Need system update
RC198,Compliance,of,Strategic,CTRL-099,AML Monitoring,Grace Mwangi,2013-07-26,Fail,High,Yes,In Progress,62,Q3 2013,84,2013-09-10,Ali Hassan,69,Control design effective
RC199,Finance,America,Operational,CTRL-056,Expense Authorization,Grace Mwangi,2014-04-06,Fail,Medium,Yes,In Progress,58,Q2 2014,24,2014-05-08,David Njoroge,71,Need system update
RC200,Compliance,France,Compliance,CTRL-114,Access Review,Grace Mwangi,2014-03-18,Pass,,No,,0,Q1 2014,59,,,,Need system update
RC201,Procurement,Mexico,IT Security,CTRL-098,Expense Authorization,Peter Otieno,2014-11-23,Fail,High,Yes,Closed,87,Q4 2014,89,2015-01-28,Grace Mwangi,60,Control design effective
RC202,Compliance,United,Financial,CTRL-065,Vendor Approval Process,Grace Mwangi,2013-09-27,Fail,High,Yes,In Progress,78,Q3 2013,65,2013-12-15,Ali Hassan,41,Awaiting vendor response
RC203,Finance,States,Strategic,CTRL-006,Access Review,Ali Hassan,2013-12-24,Pass,,No,,0,Q4 2013,63,,,,Pending management approval
RC204,Finance,of,IT Security,CTRL-045,Payroll Validation,Grace Mwangi,2013-12-26,Pass,,No,,0,Q4 2013,51,,,,Follow-up scheduled
RC205,HR,America,Compliance,CTRL-076,Expense Authorization,Lucy Wanjiku,2013-03-09,Fail,Low,Yes,In Progress,21,Q1 2013,22,2013-05-12,Ali Hassan,4,Pending management approval
RC206,Legal,Germany,IT Security,CTRL-073,Fraud Risk Assessment,Grace Mwangi,2013-10-01,Pass,,No,,0,Q4 2013,80,,,,Control design effective
RC207,Finance,Germany,Compliance,CTRL-049,Physical Asset Protection,Grace Mwangi,2013-11-27,Pass,,No,,0,Q4 2013,82,,,,Awaiting vendor response
RC208,Legal,Germany,Financial,CTRL-044,AML Monitoring,Peter Otieno,2014-11-15,Fail,Low,Yes,Closed,38,Q4 2014,66,2015-01-11,David Njoroge,63,Need system update
RC209,Compliance,Mexico,Operational,CTRL-108,Fraud Risk Assessment,Jane Smith,2013-10-22,Fail,Low,Yes,In Progress,73,Q4 2013,71,2014-01-11,David Njoroge,79,Need system update
RC210,Finance,France,Strategic,CTRL-013,Physical Asset Protection,Ali Hassan,2013-10-07,Pass,,No,,0,Q4 2013,92,,,,Control design effective
RC211,Procurement,Mexico,IT Security,CTRL-027,Payroll Validation,John Doe,2014-10-30,Fail,High,Yes,In Progress,55,Q4 2014,89,2014-12-19,David Njoroge,53,Pending management approval
RC212,IT,Mexico,Strategic,CTRL-066,AML Monitoring,Lucy Wanjiku,2014-07-15,Pass,,No,,0,Q3 2014,22,,,,Need system update
RC213,Legal,Mexico,Strategic,CTRL-111,Access Review,Peter Otieno,2014-05-27,Pass,,No,,0,Q2 2014,79,,,,No issues found
RC214,Legal,Germany,Strategic,CTRL-104,Physical Asset Protection,Grace Mwangi,2014-08-03,Pass,,No,,0,Q3 2014,86,,,,Follow-up scheduled
RC215,IT,Germany,IT Security,CTRL-019,Data Backup Verification,Jane Smith,2014-12-03,Fail,Medium,Yes,In Progress,40,Q4 2014,28,2015-02-11,David Njoroge,52,No issues found
RC216,Compliance,Canada,Compliance,CTRL-083,Access Review,Ali Hassan,2014-12-05,Pass,,No,,0,Q4 2014,71,,,,Follow-up scheduled
RC217,Finance,United,Financial,CTRL-025,Vendor Approval Process,Jane Smith,2013-11-14,Fail,Medium,Yes,Closed,55,Q4 2013,74,2014-01-24,Mary Achieng,25,Follow-up scheduled
RC218,IT,States,Financial,CTRL-004,Incident Response,Ali Hassan,2014-11-06,Pass,,No,,0,Q4 2014,25,,,,Need system update
RC219,Procurement,of,Operational,CTRL-008,Expense Authorization,Ali Hassan,2014-09-09,Fail,Low,Yes,In Progress,114,Q3 2014,66,2014-11-20,Mary Achieng,50,Need system update
RC220,Compliance,America,Financial,CTRL-031,Expense Authorization,Peter Otieno,2014-05-28,Pass,,No,,0,Q2 2014,86,,,,Need system update
RC221,Compliance,Mexico,Strategic,CTRL-100,Fraud Risk Assessment,Ali Hassan,2014-05-24,Pass,,No,,0,Q2 2014,50,,,,Control design effective
RC222,Finance,Germany,Compliance,CTRL-043,Physical Asset Protection,Lucy Wanjiku,2014-02-04,Pass,,No,,0,Q1 2014,74,,,,Follow-up scheduled
RC223,HR,Mexico,Operational,CTRL-023,Data Backup Verification,Ali Hassan,2014-03-27,Fail,Medium,Yes,Closed,7,Q1 2014,82,2014-05-30,Ali Hassan,89,Awaiting vendor response
RC224,IT,Germany,Strategic,CTRL-055,AML Monitoring,Lucy Wanjiku,2013-09-10,Fail,Low,Yes,In Progress,60,Q3 2013,67,2013-12-01,Ali Hassan,2,Need system update
RC225,Operations,Germany,Operational,CTRL-108,Vendor Approval Process,Lucy Wanjiku,2014-11-19,Pass,,No,,0,Q4 2014,52,,,,Control design effective
RC226,Procurement,United,Compliance,CTRL-082,Payroll Validation,Lucy Wanjiku,2013-05-05,Pass,,No,,0,Q2 2013,76,,,,Pending management approval
RC227,Finance,States,IT Security,CTRL-119,Incident Response,Ali Hassan,2013-04-03,Pass,,No,,0,Q2 2013,58,,,,Follow-up scheduled
RC228,Compliance,of,Financial,CTRL-118,AML Monitoring,Lucy Wanjiku,2013-11-21,Fail,Low,Yes,In Progress,110,Q4 2013,30,2014-02-11,Grace Mwangi,60,Need system update
RC229,Procurement,America,Compliance,CTRL-092,Procurement Policy Adherence,John Doe,2013-06-14,Fail,High,Yes,Open,45,Q2 2013,73,2013-08-21,Ali Hassan,58,Need system update
RC230,Finance,France,Operational,CTRL-083,Access Review,Lucy Wanjiku,2014-03-31,Pass,,No,,0,Q1 2014,20,,,,Pending management approval
RC231,HR,Canada,Compliance,CTRL-041,Physical Asset Protection,John Doe,2013-04-24,Pass,,No,,0,Q2 2013,51,,,,Control design effective
RC232,Legal,France,Financial,CTRL-109,Physical Asset Protection,Lucy Wanjiku,2014-02-25,Fail,Medium,Yes,In Progress,111,Q1 2014,37,2014-04-12,David Njoroge,87,Control design effective
RC233,Compliance,Germany,Compliance,CTRL-103,Incident Response,Jane Smith,2013-03-28,Fail,Medium,Yes,Open,50,Q1 2013,68,2013-06-26,David Njoroge,2,Awaiting vendor response
RC234,Operations,Germany,Strategic,CTRL-081,Data Backup Verification,John Doe,2014-04-19,Pass,,No,,0,Q2 2014,53,,,,Need system update
RC235,Compliance,United,Financial,CTRL-007,Procurement Policy Adherence,Peter Otieno,2014-03-16,Fail,Low,Yes,Open,47,Q1 2014,41,2014-06-14,Mary Achieng,1,Need system update
RC236,Operations,States,IT Security,CTRL-099,AML Monitoring,Lucy Wanjiku,2014-05-22,Pass,,No,,0,Q2 2014,48,,,,Need system update
RC237,HR,of,Financial,CTRL-111,Incident Response,Ali Hassan,2014-05-22,Fail,Low,Yes,In Progress,109,Q2 2014,46,2014-07-29,David Njoroge,36,Need system update
RC238,Legal,America,Financial,CTRL-054,Access Review,Grace Mwangi,2013-05-30,Pass,,No,,0,Q2 2013,57,,,,No issues found
RC239,HR,Canada,Strategic,CTRL-058,Data Backup Verification,Ali Hassan,2014-08-20,Fail,Low,Yes,Open,60,Q3 2014,37,2014-11-13,Ali Hassan,88,Pending management approval
RC240,Legal,Germany,Financial,CTRL-092,Procurement Policy Adherence,Lucy Wanjiku,2014-03-10,Fail,Low,Yes,Open,71,Q1 2014,27,2014-04-12,Ali Hassan,30,Pending management approval
RC241,IT,France,Strategic,CTRL-086,Physical Asset Protection,Lucy Wanjiku,2013-02-16,Pass,,No,,0,Q1 2013,52,,,,Control design effective
RC242,Operations,France,IT Security,CTRL-039,Procurement Policy Adherence,Lucy Wanjiku,2014-01-15,Pass,,No,,0,Q1 2014,91,,,,Awaiting vendor response
RC243,Operations,Germany,Financial,CTRL-034,Access Review,Peter Otieno,2014-05-20,Fail,Medium,Yes,Open,11,Q2 2014,60,2014-08-03,Grace Mwangi,18,No issues found
RC244,Finance,France,Compliance,CTRL-006,Access Review,Grace Mwangi,2013-10-15,Fail,Medium,Yes,In Progress,115,Q4 2013,53,2013-12-23,Ali Hassan,66,No issues found
RC245,Procurement,Germany,Financial,CTRL-041,AML Monitoring,Jane Smith,2014-07-24,Fail,Low,Yes,Open,19,Q3 2014,26,2014-09-06,David Njoroge,4,Pending management approval
RC246,IT,France,Financial,CTRL-091,AML Monitoring,Grace Mwangi,2013-04-29,Fail,Low,Yes,In Progress,45,Q2 2013,91,2013-06-29,Grace Mwangi,63,Awaiting vendor response
RC247,Compliance,Canada,Financial,CTRL-016,Payroll Validation,John Doe,2013-07-28,Fail,Low,Yes,Open,95,Q3 2013,85,2013-10-18,Ali Hassan,72,Need system update
RC248,Operations,France,Financial,CTRL-075,Vendor Approval Process,Peter Otieno,2014-08-08,Pass,,No,,0,Q3 2014,73,,,,Awaiting vendor response
RC249,HR,Germany,IT Security,CTRL-087,Expense Authorization,Ali Hassan,2013-01-27,Fail,High,Yes,Closed,15,Q1 2013,70,2013-03-21,Mary Achieng,41,Follow-up scheduled
RC250,Finance,Germany,Operational,CTRL-059,AML Monitoring,Grace Mwangi,2014-10-06,Fail,High,Yes,Closed,0,Q4 2014,62,2014-11-07,Grace Mwangi,41,Need system update
RC251,Legal,United,Strategic,CTRL-017,Data Backup Verification,John Doe,2014-10-22,Fail,Medium,Yes,Open,95,Q4 2014,29,2014-12-26,Grace Mwangi,11,Pending management approval
RC252,IT,States,Financial,CTRL-031,Procurement Policy Adherence,John Doe,2013-01-22,Pass,,No,,0,Q1 2013,40,,,,Pending management approval
RC253,Compliance,of,IT Security,CTRL-037,Access Review,John Doe,2013-11-02,Fail,Medium,Yes,Closed,103,Q4 2013,59,2014-01-28,David Njoroge,45,Need system update
RC254,Finance,America,Compliance,CTRL-066,Data Backup Verification,Grace Mwangi,2014-04-02,Fail,Medium,Yes,In Progress,72,Q2 2014,74,2014-05-07,Grace Mwangi,47,Control design effective
RC255,HR,Canada,IT Security,CTRL-081,Procurement Policy Adherence,John Doe,2013-02-11,Fail,Medium,Yes,Closed,28,Q1 2013,39,2013-05-11,Grace Mwangi,67,Need system update
RC256,Legal,Germany,Strategic,CTRL-011,Incident Response,Grace Mwangi,2014-03-24,Pass,,No,,0,Q1 2014,81,,,,No issues found
RC257,HR,France,Financial,CTRL-088,Incident Response,Jane Smith,2014-06-20,Fail,Medium,Yes,Closed,6,Q2 2014,90,2014-07-24,Mary Achieng,65,Awaiting vendor response
RC258,Operations,Germany,IT Security,CTRL-053,Expense Authorization,Grace Mwangi,2014-11-08,Fail,Medium,Yes,In Progress,74,Q4 2014,30,2015-01-26,Mary Achieng,14,Need system update
RC259,Legal,Canada,IT Security,CTRL-023,Access Review,Grace Mwangi,2013-02-16,Pass,,No,,0,Q1 2013,73,,,,Need system update
RC260,IT,United,Compliance,CTRL-076,AML Monitoring,Lucy Wanjiku,2014-04-06,Fail,Medium,Yes,Open,27,Q2 2014,43,2014-05-11,Ali Hassan,86,Awaiting vendor response
RC261,Procurement,States,Strategic,CTRL-003,Vendor Approval Process,Grace Mwangi,2013-04-30,Pass,,No,,0,Q2 2013,41,,,,Need system update
RC262,Procurement,of,IT Security,CTRL-089,Procurement Policy Adherence,Lucy Wanjiku,2014-09-09,Fail,Medium,Yes,Closed,104,Q3 2014,66,2014-11-22,Grace Mwangi,38,Awaiting vendor response
RC263,HR,America,Financial,CTRL-002,Data Backup Verification,John Doe,2013-01-17,Pass,,No,,0,Q1 2013,23,,,,Follow-up scheduled
RC264,Procurement,Mexico,Financial,CTRL-084,Data Backup Verification,Grace Mwangi,2014-10-04,Pass,,No,,0,Q4 2014,31,,,,No issues found
RC265,Compliance,Germany,IT Security,CTRL-019,AML Monitoring,Grace Mwangi,2013-01-23,Pass,,No,,0,Q1 2013,41,,,,Follow-up scheduled
RC266,Legal,Canada,IT Security,CTRL-063,AML Monitoring,John Doe,2014-04-06,Pass,,No,,0,Q2 2014,45,,,,No issues found
